"x.1","x.2","classes"
-0.0664575080870761,-0.416872514671288,"2"
0.206966052955792,0.0402239546343303,"1"
-0.388947413187592,0.839308166299765,"2"
0.2953090392056,0.0518630972905918,"1"
-0.283856880238768,-0.0538448580431336,"2"
0.234260169507604,0.0935681257311439,"1"
0.313111932154252,0.134018330111673,"1"
0.0246248801649031,-0.555385052988018,"2"
0.366864586119887,0.192983488970231,"1"
0.0334027818620558,0.729071276029872,"2"
-0.209148849773703,-0.345764525478183,"2"
0.265060314651684,0.21247128335717,"1"
0.239577764234857,0.249006048793913,"1"
0.238151790865314,0.303789292218838,"1"
0.622070938846638,-0.0741874726617202,"2"
0.129376132282241,0.729022747972465,"2"
-0.0494853994744197,0.890149966686619,"2"
0.272461369211268,0.406995141237937,"1"
0.181971340096528,0.396234907093488,"1"
0.177016846929869,0.498843646997863,"1"
0.0598426062887022,0.401486805313847,"1"
0.0298898822877725,0.488503337324307,"1"
-0.0261290349874743,0.544982491815835,"1"
-0.0972886727951781,0.522489701856987,"1"
-0.312484522042316,-0.28909176278627,"2"
-0.96889976653415,0.12129439428375,"2"
-0.166467863796366,0.521248890995954,"1"
-0.271668519432977,0.648226523820993,"1"
-0.291368646692762,0.450943823253653,"1"
0.159517422607343,-0.462509752671507,"2"
-0.277251195812831,-0.130417097920454,"2"
-0.833405532190481,0.458765093129731,"2"
-0.382594370900808,0.472532478022502,"1"
-0.47265423580123,0.46229768507771,"1"
-0.286624302527899,-0.173785484645081,"2"
0.455635965071475,0.448788420354041,"2"
-0.519090385458625,0.387582670283383,"1"
-0.530500398630162,0.289910415594799,"1"
-0.542256857914987,0.206212942901689,"1"
-0.724280361170707,0.520388761177196,"2"
-0.628797931041378,0.163091430688164,"1"
0.479648939749639,-0.346699265964458,"2"
-0.606556927201214,0.742804708009308,"2"
-0.708497019501686,0.0996641675235662,"1"
-0.703538389979503,0.00586831702555466,"1"
0.693996943094712,0.0846626598615751,"2"
-0.663955959269616,-0.0855377736753418,"1"
-0.248943138759904,-0.206237975155132,"2"
0.303250041187202,-0.480843983678607,"2"
-0.64258106743746,-0.169533751392759,"1"
-0.669156347739682,-0.262951754598218,"1"
0.524751907745535,-0.285319037823324,"2"
-0.641185155604578,-0.350675924418726,"1"
-0.577496895625997,-0.422733027606104,"1"
-0.534249842041114,-0.504064329244438,"1"
0.258648603077015,0.784760102829758,"2"
0.49256048897799,0.378013230437006,"2"
0.452719742807762,0.698304668110363,"2"
0.709459563526722,-0.30751370161095,"2"
0.724291138641053,-0.205235320992182,"2"
-0.508223605783807,0.815872018867012,"2"
-0.497368557077082,-0.597415088660369,"1"
-0.437206235558494,-0.679954934839285,"1"
-0.383307250728836,-0.786604676803019,"1"
-0.202608269693905,-0.422297421675047,"2"
-0.222118565422545,-0.708362092703659,"1"
-0.867768131001019,0.340255620135764,"2"
-0.126658245855841,-0.720772044888707,"1"
0.689785707131319,-0.00367950956949106,"2"
-0.0559239333155209,-0.845868598665087,"1"
0.0506747295396737,-0.871241375062064,"1"
0.63360410106786,0.25470396509748,"2"
-0.404447998976509,0.0226365011268777,"2"
0.163613288403735,-0.895470029957807,"1"
0.0987027727921644,-0.411899825455942,"2"
0.272353916007311,-0.847557222178944,"1"
0.461246554267111,0.56437061856068,"2"
0.378312216734521,-0.807197167973853,"1"
0.463298094373743,-0.722216756105851,"1"
-0.216417795806156,-0.564915099507365,"2"
0.404459859578325,-0.511792425744379,"2"
0.556942677752395,-0.666186904532804,"1"
0.688752356338647,-0.651187197074217,"1"
0.703350036937572,0.373815716965825,"2"
-0.259542236292531,0.781770620463119,"2"
0.795754639250004,-0.58584997093713,"1"
0.238928716489909,-0.518991391165571,"2"
0.82189397550596,-0.450646064783835,"1"
-0.0229210797678888,-0.463773914576743,"2"
0.678450894348327,0.17311360791022,"2"
-0.260429139397141,-0.320234574065571,"2"
0.425387537309088,-0.398533182251574,"2"
-0.159603751427796,0.833672158454996,"2"
0.942014066311554,-0.379578393888676,"1"
0.998807896074786,-0.263151069337955,"1"
0.279864345521006,0.626593213548711,"2"
-0.910640067370703,0.229973616729765,"2"
-0.662789839681795,0.620487714431943,"2"
-0.334485629920521,-0.0900298205516314,"2"
0.910094348283453,-0.107352373085314,"1"
